,index,Trackname,Artist,Streams,URL,Date,Region,Artist_Trackname,Group,peak_regions
0,58,Starboy,The Weeknd,65518,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,2017-01-01,Argentina,The Weeknd Starboy,Spanish Speaking,54
1,65,Let Me Love You,DJ Snake,87926,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,2017-01-01,Argentina,DJ Snake Let Me Love You,Spanish Speaking,54
2,152,Don't Wanna Know,Maroon 5,62894,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,2017-01-12,Argentina,Maroon 5 Don't Wanna Know,Spanish Speaking,54
3,165,Closer,The Chainsmokers,57723,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2017-01-18,Argentina,The Chainsmokers Closer,Spanish Speaking,54
4,218,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,79403,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,2017-01-28,Argentina,Clean Bandit Rockabye (feat. Sean Paul & Anne-Marie),Spanish Speaking,54
5,238,Solo Dance,Martin Jensen,17319,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN,2017-02-09,Argentina,Martin Jensen Solo Dance,Spanish Speaking,54
6,240,Despacito (Featuring Daddy Yankee),Luis Fonsi,455217,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,2017-02-11,Argentina,Luis Fonsi Despacito (Featuring Daddy Yankee),Spanish Speaking,54
7,252,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,71628,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,2017-02-16,Argentina,"ZAYN I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Spanish Speaking,54
8,253,Say You Won't Let Go,James Arthur,23559,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2017-02-16,Argentina,James Arthur Say You Won't Let Go,Spanish Speaking,54
9,258,Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Major Lazer,24330,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ,2017-02-17,Argentina,Major Lazer Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Spanish Speaking,54
10,280,Chained To The Rhythm,Katy Perry,62871,https://open.spotify.com/track/6520aj0B4FSKGVuKNsOCOi,2017-03-01,Argentina,Katy Perry Chained To The Rhythm,Spanish Speaking,54
11,290,What Do I Know?,Ed Sheeran,29836,https://open.spotify.com/track/2pJZ1v8HezrAoZ0Fhzby92,2017-03-03,Argentina,Ed Sheeran What Do I Know?,Spanish Speaking,54
12,291,Galway Girl,Ed Sheeran,36684,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve,2017-03-03,Argentina,Ed Sheeran Galway Girl,Spanish Speaking,54
13,292,Happier,Ed Sheeran,35495,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2017-03-03,Argentina,Ed Sheeran Happier,Spanish Speaking,54
14,293,How Would You Feel (Paean),Ed Sheeran,35510,https://open.spotify.com/track/6PJ8FF6UR8FZXfEvpHkIVN,2017-03-03,Argentina,Ed Sheeran How Would You Feel (Paean),Spanish Speaking,54
15,295,Eraser,Ed Sheeran,38397,https://open.spotify.com/track/7oolFzHipTMg2nL7shhdz2,2017-03-03,Argentina,Ed Sheeran Eraser,Spanish Speaking,54
16,296,New Man,Ed Sheeran,39177,https://open.spotify.com/track/5HDPtsnyb3maFmPL8LLUTG,2017-03-03,Argentina,Ed Sheeran New Man,Spanish Speaking,54
17,297,Dive,Ed Sheeran,40834,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls,2017-03-03,Argentina,Ed Sheeran Dive,Spanish Speaking,54
18,298,Shape of You,Ed Sheeran,202857,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2017-03-03,Argentina,Ed Sheeran Shape of You,Spanish Speaking,54
19,302,Castle on the Hill,Ed Sheeran,56821,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT,2017-03-07,Argentina,Ed Sheeran Castle on the Hill,Spanish Speaking,54
20,347,I Feel It Coming,The Weeknd,75064,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,2017-04-03,Argentina,The Weeknd I Feel It Coming,Spanish Speaking,54
21,355,Slide,Calvin Harris,23291,https://open.spotify.com/track/7tr2za8SQg2CI8EDgrdtNl,2017-04-05,Argentina,Calvin Harris Slide,Spanish Speaking,54
22,357,The One,The Chainsmokers,25536,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5,2017-04-07,Argentina,The Chainsmokers The One,Spanish Speaking,54
23,358,Something Just Like This,The Chainsmokers,69940,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2017-04-07,Argentina,The Chainsmokers Something Just Like This,Spanish Speaking,54
24,362,Cold,Maroon 5,30863,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k,2017-04-12,Argentina,Maroon 5 Cold,Spanish Speaking,54
25,363,Issues,Julia Michaels,21079,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt,2017-04-12,Argentina,Julia Michaels Issues,Spanish Speaking,54
26,365,It Ain't Me (with Selena Gomez),Kygo,65320,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe,2017-04-13,Argentina,Kygo It Ain't Me (with Selena Gomez),Spanish Speaking,54
27,366,Paris,The Chainsmokers,61208,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG,2017-04-13,Argentina,The Chainsmokers Paris,Spanish Speaking,54
28,367,Scared to Be Lonely,Martin Garrix,52251,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,2017-04-13,Argentina,Martin Garrix Scared to Be Lonely,Spanish Speaking,54
29,368,Passionfruit,Drake,24075,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,2017-04-13,Argentina,Drake Passionfruit,Spanish Speaking,54
30,372,HUMBLE.,Kendrick Lamar,18885,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,2017-04-18,Argentina,Kendrick Lamar HUMBLE.,Spanish Speaking,54
31,373,Despacito - Remix,Luis Fonsi,408219,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,2017-04-18,Argentina,Luis Fonsi Despacito - Remix,Spanish Speaking,54
32,404,That's What I Like,Bruno Mars,67355,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU,2017-05-06,Argentina,Bruno Mars That's What I Like,Spanish Speaking,54
33,419,Malibu,Miley Cyrus,48848,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O,2017-05-12,Argentina,Miley Cyrus Malibu,Spanish Speaking,54
34,434,No Promises (feat. Demi Lovato),Cheat Codes,23184,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW,2017-05-18,Argentina,Cheat Codes No Promises (feat. Demi Lovato),Spanish Speaking,54
