,Artist,Trackname,Date,Artist_Trackname,Streams
0,Avicii,Without You (feat. Sandro Cavazza),2017-08-10,Avicii Without You (feat. Sandro Cavazza),204279
1,Avicii,Without You (feat. Sandro Cavazza),2017-08-11,Avicii Without You (feat. Sandro Cavazza),1736708
2,Avicii,Without You (feat. Sandro Cavazza),2017-08-12,Avicii Without You (feat. Sandro Cavazza),1418079
3,Avicii,Without You (feat. Sandro Cavazza),2017-08-13,Avicii Without You (feat. Sandro Cavazza),1375302
4,Avicii,Without You (feat. Sandro Cavazza),2017-08-14,Avicii Without You (feat. Sandro Cavazza),1710567
5,Avicii,Without You (feat. Sandro Cavazza),2017-08-15,Avicii Without You (feat. Sandro Cavazza),1765144
6,Avicii,Without You (feat. Sandro Cavazza),2017-08-16,Avicii Without You (feat. Sandro Cavazza),1893438
7,Avicii,Without You (feat. Sandro Cavazza),2017-08-17,Avicii Without You (feat. Sandro Cavazza),1978628
8,Avicii,Without You (feat. Sandro Cavazza),2017-08-18,Avicii Without You (feat. Sandro Cavazza),2015620
9,Avicii,Without You (feat. Sandro Cavazza),2017-08-19,Avicii Without You (feat. Sandro Cavazza),1920723
10,Avicii,Without You (feat. Sandro Cavazza),2017-08-20,Avicii Without You (feat. Sandro Cavazza),1691995
11,Avicii,Without You (feat. Sandro Cavazza),2017-08-21,Avicii Without You (feat. Sandro Cavazza),1906195
12,Avicii,Without You (feat. Sandro Cavazza),2017-08-22,Avicii Without You (feat. Sandro Cavazza),2009174
13,Avicii,Without You (feat. Sandro Cavazza),2017-08-23,Avicii Without You (feat. Sandro Cavazza),2039948
14,Avicii,Without You (feat. Sandro Cavazza),2017-08-24,Avicii Without You (feat. Sandro Cavazza),2013503
15,Avicii,Without You (feat. Sandro Cavazza),2017-08-25,Avicii Without You (feat. Sandro Cavazza),2114409
16,Avicii,Without You (feat. Sandro Cavazza),2017-08-26,Avicii Without You (feat. Sandro Cavazza),1992513
17,Avicii,Without You (feat. Sandro Cavazza),2017-08-27,Avicii Without You (feat. Sandro Cavazza),1666813
18,Avicii,Without You (feat. Sandro Cavazza),2017-08-28,Avicii Without You (feat. Sandro Cavazza),1925816
19,Avicii,Without You (feat. Sandro Cavazza),2017-08-29,Avicii Without You (feat. Sandro Cavazza),2059181
20,Avicii,Without You (feat. Sandro Cavazza),2017-08-30,Avicii Without You (feat. Sandro Cavazza),2062234
21,Avicii,Without You (feat. Sandro Cavazza),2017-08-31,Avicii Without You (feat. Sandro Cavazza),2063593
22,Avicii,Without You (feat. Sandro Cavazza),2017-09-01,Avicii Without You (feat. Sandro Cavazza),2166316
23,Avicii,Without You (feat. Sandro Cavazza),2017-09-02,Avicii Without You (feat. Sandro Cavazza),2015412
